x,p,d,q,P,D,Q,p_norm,p_estac,p_ind,AIC.model
1057,0,1,1,2,0,0,1.54641758189193e-06,0.0486505422354949,0.917125516662612,49.2786998299451
1058,0,1,1,2,0,1,1.54697533426214e-06,0.0489914616328435,0.918222052833954,51.2599225921782
1010,0,1,1,0,0,1,1.54801737074905e-06,0.0486087847080083,0.916183556742132,47.2986869480452
1039,0,1,1,1,1,0,1.5484644565768e-05,0.0858579801227162,0.839707632423793,74.736372793343
963,0,1,0,4,0,2,1.5492179521524e-06,0.0718486726730122,0.209532730189145,56.5014126805214
912,0,1,0,1,3,5,1.54964900331772e-08,0.253251304927165,0.117042065422003,138.866765976741
28,0,0,0,1,0,3,1.5580773156499e-05,0.541503211464692,2.77555756156289e-15,199.44035106495
965,0,1,0,4,0,4,1.56198993674601e-06,0.0702985483265651,0.215217992341277,60.4755766803362
1023,0,1,1,0,2,2,1.56245842810124e-06,0.121598940265891,0.92185354586873,104.943427576535
1016,0,1,1,0,1,1,1.56486987346608e-05,0.0850567218731437,0.843809453980035,65.8977918225124
1368,0,1,3,2,3,5,1.56638172663933e-07,0.166168990362833,0.958913143383159,138.459569642599
767,0,0,5,1,3,4,1.57007973709615e-07,0.536604792592658,0.698239923083486,128.967651439998
10,0,0,0,0,1,3,1.57959444245873e-06,0.687814535894764,1.22124532708767e-15,197.843869932652
807,0,0,5,3,2,2,1.58167074237708e-09,0.648016868783869,0.862864516964218,127.661758513324
1192,0,1,2,1,2,3,1.58454420816977e-05,0.045746881822866,0.226681794595777,107.051877045599
1444,0,1,4,0,0,3,1.58737152412884e-05,0.133095924753197,0.758617470888675,51.9114636812435
1034,0,1,1,1,0,1,1.59229130567015e-06,0.0484512552816788,0.915034315432038,49.2948235483432
1304,0,1,3,0,1,1,1.60454186479803e-05,0.0927335333520536,0.779096428565183,63.3854339390835
907,0,1,0,1,3,0,1.60803284399175e-09,0.23967929942126,0.0162653231495877,137.74493938878
17,0,0,0,0,2,4,1.61049668783702e-05,0.678337344641463,2.44249065417534e-15,186.648773980101
1011,0,1,1,0,0,2,1.62359845280044e-06,0.0483760329384888,0.914135556907806,49.2921859699457
1052,0,1,1,1,3,1,1.62446142824724e-10,0.154870658723339,0.123348563354997,142.729744033211
1356,0,1,3,2,1,5,1.63381745692937e-05,0.0665160226733297,0.82226304736203,73.445185913521
1357,0,1,3,2,1,5,1.63381745692937e-05,0.0665160226733297,0.82226304736203,73.445185913521
34,0,0,0,1,1,3,1.63753263189381e-06,0.687372514519142,1.22124532708767e-15,199.841577240934
56,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
57,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
58,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
59,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
60,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
61,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
62,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
63,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
64,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
65,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
66,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
67,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
68,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
69,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
70,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
71,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
72,0,0,0,2,1,1,1.63795457505608e-06,0.660967915155251,1.22124532708767e-15,198.689299661336
1009,0,1,1,0,0,0,1.65740313578624e-06,0.0672033392791243,0.903563026487494,47.1322135473114
1604,0,1,5,0,3,1,1.66095134928065e-07,0.0496986721528025,0.867583456272266,133.335914578721
1033,0,1,1,1,0,0,1.6769171856005e-06,0.0483734236209083,0.911551947999684,47.3210861062618
77,0,0,0,3,0,4,1.68610095197697e-05,0.47767242351968,1.06770148278201e-12,187.667938160124
1351,0,1,3,2,1,0,1.70520948705588e-05,0.103692091475045,0.833192430174562,66.0106438179312
1193,0,1,2,1,2,4,1.72165136551647e-05,0.0440314324494605,0.186120164821452,107.489703240885
1464,0,1,4,0,3,5,1.74699099709366e-07,0.26342595124188,0.887652408684675,136.036044239587
1054,0,1,1,1,3,3,1.77388723898555e-08,0.130958377896773,0.887948414975967,136.493182336695
39,0,0,0,1,2,2,1.78553231882298e-05,0.732758803195018,1.66533453693773e-15,188.811031761404
1081,0,1,1,3,0,0,1.79385818937325e-06,0.0497390097625817,0.91610349927247,51.1938265692913
1320,0,1,3,0,3,5,1.79643097075849e-07,0.242647048282229,0.851642123142067,132.971818736544
